platform,model,font_family,m_coeff,a_coeff,error_mean,error_std
Batik,original,Arial,0.71,0.55,0.005,14.557
Batik,original,Calibri,0.66,-1.17,0.003,12.488
Batik,clustering 1,Arial,1,0.55,0.001,2.792
Batik,clustering 1,Calibri,0.92,0.52,0.002,3.592
Batik,clustering 2,Arial,0.97,0.02,-0.012,5.71
Batik,clustering 2,Calibri,0.98,0.02,-0.028,7.501
Jfx,original,Arial,0.71,0.55,0.005,14.557
Jfx,original,Calibri,0.66,-1.17,0.003,12.488
Jfx,clustering 1,Arial,1,0.55,0.001,2.792
Jfx,clustering 1,Calibri,0.92,0.52,0.002,3.592
Jfx,clustering 2,Arial,0.97,0.02,-0.012,5.71
Jfx,clustering 2,Calibri,0.98,0.02,-0.028,7.501
Web,original,Arial,0.71,0.24,0.003,14.243
Web,original,Calibri,0.65,0.58,-0.002,12.654
Web,clustering 1,Arial,1,0.13,-0.003,3.136
Web,clustering 1,Calibri,0.92,-0.45,0.003,3.594
Web,clustering 2,Arial,0.97,0,-0.095,6.179
Web,clustering 2,Calibri,0.98,-0.02,-0.091,7.434